"modelo","bloque_ppc","estadistico","componente","p_ppc"
"kappa_comun","global","centroide_aitchison","global",0.889
"kappa_comun","global","variacion_total_clr","global",0.9994375
"kappa_comun","marginal","centroide_por_proteoforma","unmod",0.4334375
"kappa_comun","marginal","centroide_por_proteoforma","K9me1",0.4609375
"kappa_comun","marginal","centroide_por_proteoforma","K9me2",0.4245625
"kappa_comun","marginal","centroide_por_proteoforma","K9me3",0.45625
"kappa_comun","marginal","centroide_por_proteoforma","K9ac",0.81975
"kappa_comun","marginal","centroide_por_proteoforma","K14ac",0.3234375
"kappa_comun","marginal","centroide_por_proteoforma","K9me1K14ac",0.31375
"kappa_comun","marginal","centroide_por_proteoforma","K9me2K14ac",0.55475
"kappa_comun","marginal","centroide_por_proteoforma","K9me3K14ac",0.759625
"kappa_comun","marginal","centroide_por_proteoforma","K9acK14ac",0.3633125
"kappa_comun","marginal","centroide_por_proteoforma","S10ph",0.630625
"kappa_comun","marginal","centroide_por_proteoforma","K9me1S10ph",0.642875
"kappa_comun","marginal","centroide_por_proteoforma","K9me2S10ph",0.583625
"kappa_comun","marginal","centroide_por_proteoforma","K9me3S10ph",0.358
"kappa_comun","marginal","centroide_por_proteoforma","K9acS10ph",0.36575
"kappa_comun","marginal","centroide_por_proteoforma","S10phK14ac",0.720875
"kappa_comun","marginal","centroide_por_proteoforma","K9me1S10phK14ac",0.57175
"kappa_comun","marginal","centroide_por_proteoforma","K9me2S10phK14ac",0.4843125
"kappa_comun","marginal","centroide_por_proteoforma","K9me3S10phK14ac",0.384875
"kappa_comun","marginal","centroide_por_proteoforma","K9acS10phK14ac",0.1244375
"kappa_comun","marginal","varianza_clr_por_proteoforma","unmod",0.680875
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9me1",0.6775625
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9me2",0.605
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9me3",0.55875
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9ac",0.8606875
"kappa_comun","marginal","varianza_clr_por_proteoforma","K14ac",0.711
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9me1K14ac",0.742
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9me2K14ac",0.5425625
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9me3K14ac",0.5693125
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9acK14ac",0.8724375
"kappa_comun","marginal","varianza_clr_por_proteoforma","S10ph",0.6128125
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9me1S10ph",0.47225
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9me2S10ph",0.5899375
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9me3S10ph",0.74925
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9acS10ph",0.9505
"kappa_comun","marginal","varianza_clr_por_proteoforma","S10phK14ac",0.40075
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9me1S10phK14ac",0.5133125
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9me2S10phK14ac",0.680125
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9me3S10phK14ac",0.8428125
"kappa_comun","marginal","varianza_clr_por_proteoforma","K9acS10phK14ac",0.998875
"kappa_comun","balances","media_balance","S10ph vs No-S10ph",0.5478125
"kappa_comun","balances","media_balance","Mod vs Unmod",0.2975
"kappa_comun","balances","media_balance","Ac vs No-Ac",0.895125
"kappa_comun","balances","varianza_balance","S10ph vs No-S10ph",0.5019375
"kappa_comun","balances","varianza_balance","Mod vs Unmod",0.680875
"kappa_comun","balances","varianza_balance","Ac vs No-Ac",0.811875
"kappa_comun","varianza_clr","T_clr","global",0.999375
